"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"FC"	"control1_.subset.sorted"	"control2_.subset.sorted"	"control3_.subset.sorted"	"treatment1_.subset.sorted"	"treatment2_.subset.sorted"	"treatment3_.subset.sorted"
"BUB3"	6877.14890065979	0.318035624785987	0.0735811122686667	4.32224541027245	1.54449255393845e-05	0.000732521876212169	1.24663197725266	6014.20480263598	5974.20794151059	6378.72721351847	7892.73314108897	8130.90526485632	6872.1150403484
"IFT43"	143.375853240562	0.803522900838435	0.192077106474091	4.18333509697482	2.87263480867517e-05	0.000732521876212169	1.74535789706915	107.378759908197	93.7023630235406	111.889649734816	153.866176459914	202.61442093194	190.803749384963
"GPANK1"	100.070882299022	-0.804315843512237	0.221396747709447	-3.63291625479427	0.000280235990172275	0.00476401183292868	0.572633570866067	148.142918762235	120.994313418747	112.906828368769	77.3628820189509	72.1169972808599	68.9013539445698
"P3H2"	62.392189107718	0.90449790767246	0.27530836764186	3.28539926127162	0.00101837951526847	0.012984338819673	1.87189291805486	45.7353977386766	44.5768523121698	39.6699667241621	67.9074186610791	92.7218536468199	83.7416455634002
"CACNG7"	23.5185660373675	1.30498921923263	0.449855351425656	2.90090851447455	0.00372082491433448	0.0379524141262117	2.47081881059967	16.9022122077718	13.645975197603	10.1717863395287	36.9622658534988	26.3284275787266	37.1007290470761
"MANBA"	133.509369212715	-0.647701847766833	0.228476092544487	-2.83487799775251	0.0045843189048048	0.0389667106908408	0.638296283251886	202.826546493262	144.647337094592	140.370651485497	73.0649441290092	122.484423953207	117.662312120727
"ANK1"	311.049501952116	-0.423198339082298	0.160259178717439	-2.6407120170537	0.00827320097320866	0.0602761785190917	0.745769479270301	362.90043857863	378.448378813523	325.49716286492	199.424318093296	315.94113094472	284.085582417611
"SHANK1"	27.1738345817039	-0.778040238696521	0.427403823097292	-1.82038670842542	0.0687001351212693	0.437963361398092	0.583158419598207	37.7814155232546	25.4724870355256	39.6699667241621	15.4725764037902	16.0259993957466	28.6205624077444
"AKAP6"	64.6529246791446	-0.413480411257241	0.279320708113041	-1.48030704221867	0.138791324739395	0.707835756170914	0.750809905362277	63.6318577233762	63.681217588814	94.5976129576173	57.592367725219	46.9332839446866	61.4812081351546
"DPH6"	161.24366661539	0.272027798552352	0.179739119013825	1.51345906247281	0.130163092212155	0.707835756170914	1.20750385803616	119.30973323133	161.022507331715	157.662688262695	171.917515597669	176.285993353213	181.263561915714
"IPO13"	0.143264596331391	1.02210342362529	4.0804728567969	0.250486514552536	0.802211132197152	0.858836124872877	2.03087778566939	0	0	0	0.859587577988344	0	0
"ZC3H11A"	0.169529772325479	-0.901449928017203	4.0804728567969	-0.220918006234411	0.825156276838647	0.858836124872877	0.535348428405703	0	0	1.01717863395287	0	0	0
"PANK1"	182.442903446563	-0.174699347473567	0.163134577357012	-1.07089098034223	0.284218451917168	0.858836124872877	0.885952129145146	204.815042047117	192.863116126122	183.092154111517	183.092154111517	172.851850625553	157.943103657552
"HMX3"	0.151621946640033	-0.901449928017203	4.0804728567969	-0.220918006234411	0.825156276838647	0.858836124872877	0.535348428405703	0	0.9097316798402	0	0	0	0
"FANK1"	2.31509498171045	0.463966267768339	1.31014485535772	0.354133564598594	0.723238788985108	0.858836124872877	1.37932867081289	1.98849555385551	1.8194633596804	2.03435726790575	2.57876273396503	2.28942848510666	3.18006248974938
"DENND2B"	0.165707962821292	-0.901449928017203	4.0804728567969	-0.220918006234411	0.825156276838647	0.858836124872877	0.535348428405703	0.994247776927753	0	0	0	0	0
"PCNX3"	0.143264596331391	1.02210342362529	4.0804728567969	0.250486514552536	0.802211132197152	0.858836124872877	2.03087778566939	0	0	0	0.859587577988344	0	0
"CFL1"	0.948865887700835	-2.10035670903541	2.3654679955687	-0.887924382392858	0.37458142817134	0.858836124872877	0.233200581477402	0.994247776927753	3.6389267193608	0	0	0	1.06002082991646
"PACS1"	0.331415925642584	-1.82509644587714	4.00083887171748	-0.456178442670865	0.648261665889874	0.858836124872877	0.282222233679332	1.98849555385551	0	0	0	0	0
"USP2-AS1"	0.66021126361647	-2.81933189715804	2.80712555194682	-1.00434834316646	0.315210739559438	0.858836124872877	0.141676079758683	0	0.9097316798402	3.05153590185862	0	0	0
"NECTIN1"	0.151621946640033	-0.901449928017203	4.0804728567969	-0.220918006234411	0.825156276838647	0.858836124872877	0.535348428405703	0	0.9097316798402	0	0	0	0
"KRT81"	0.339059544650958	-1.8535683349257	3.96461269112239	-0.467528225159608	0.640122003093846	0.858836124872877	0.276707118713819	0	0	2.03435726790575	0	0	0
"KRT8"	145.155380693355	0.214355113162362	0.187667485338384	1.14220698793857	0.25336799201304	0.858836124872877	1.16018519394377	150.131414316091	122.813776778427	130.198865145968	144.410713102042	144.23399456172	179.143520255882
"EIF4B"	0.868904796394138	-1.88934049896105	2.617001059402	-0.721948694737165	0.470326021368566	0.858836124872877	0.269930424568896	0	0	4.06871453581149	0	1.14471424255333	0
"NUP107"	0.524836010515835	2.54267296456241	3.0568792946007	0.831787165771798	0.405529089438296	0.858836124872877	5.82667549356731	0	0	0	0.859587577988344	2.28942848510666	0
"MDM2"	0.190785707092222	1.02210342362529	4.0804728567969	0.250486514552536	0.802211132197152	0.858836124872877	2.03087778566939	0	0	0	0	1.14471424255333	0
"CPM"	0.286529192662781	1.71335045154183	4.05809943172273	0.422205143163406	0.67287528778182	0.858836124872877	3.27921490265122	0	0	0	1.71917515597669	0	0
